UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Latitude,Longitude
100760004,Central Alabama Community College,100700,Prattville Campus,1320 Old Ridge Road  ,Prattville,AL,36066,4,"Public, 2-year",751.0,1026.0,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,32.503367519277106,-86.42768109953543
100812001,Athens State University,100800,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1,"Public, 4-year or above",887.0,2007.0,2894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,30.933398,-93.986396
100830001,Auburn University at Montgomery,831000,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1900.0,3209.0,5109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,32.3709721,-86.1771873
100858001,Auburn University,100900,Auburn University,182 South College Street,Auburn,AL,36849,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1,1,1,32.60471105,-85.48279062089341
100858002,Auburn University,100900,Joseph S Bruno Auburn Abroad Italy,Via del Parco 149,Ariccia,,00072,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858003,Auburn University,100900,Solon Dixon Forestry Education Center,12130 Dixon Center Road,Andalusia,AL,36420,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858004,Auburn University,100900,Rural Studio,8448  AL Hwy 61,Newbern,AL,36765,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858005,Auburn University,100900,Harris Early Learning Center,1413 7th Avenue North,Birmingham,AL,35203,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,47.512984994262276,-111.28296014262004
100858006,Auburn University,100900,Auburn University Regional Airport,2150 Mike Hubbard Blvd,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,32.6118107,-85.43694166226194
100858007,Auburn University,100900,E W Shell Fisheries Center North,2101 North College Street,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,29.520483,-97.456019
100858008,Auburn University,100900,Charles C. Miller Poultry Research and Education Center,1088 Auburn Lakes Road,Auburn,AL,36830,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,32.68249,-85.508237
100858010,Auburn University,100900,Harrison College of Pharmacy - Mobile,"650 Clinic Drive, Room 2100",Mobile,AL,36688,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858011,Auburn University,100900,Harrison College of Pharmacy - Montgomery,101 South Union Street,Montgomery,AL,36104,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,41.536033,-88.5801812
100858012,Auburn University,100900,The Center for Architecture and Urban Studies,221 20th Street North,Birmingham,AL,35203,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858013,Auburn University,100900,Auburn University Shellfish Laboratory,150 Aggasiz Street,Dauphin Island,AL,36528,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
100858014,Auburn University,100900,Futures Studio,301 Conti Street,Mobile,AL,36688,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.32661,-89.307424
100858015,Auburn University,100900,Harrison College of Pharmacy - Huntsville,"301 Governors Drive, Room 385",Huntsville,AL,35801,1,"Public, 4-year or above",15678.0,16086.0,31764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,
100937001,Birmingham-Southern College,101200,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",512.0,463.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,30.834629659588977,-92.92426639711137
101028001,Chattahoochee Valley Community College,1218200,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869,4,"Public, 2-year",560.0,1081.0,1641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101116001,South University-Montgomery,1303906,South University - Montgomery,5355 Vaughn Road,MONTGOMERY,AL,361161120,3,"Private for-profit, 4-year or above",49.0,312.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,33.81597539086642,-84.82167939961734
101143001,Enterprise State Community College,101500,Main Campus,600 PLAZA DR,ENTERPRISE,AL,363301300,4,"Public, 2-year",1011.0,999.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101143002,Enterprise State Community College,101500,Alabama Aviation Center - Ozark,3405 Highway 231 South,Ozark,AL,36360,4,"Public, 2-year",1011.0,999.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,35.7698129,-86.4027322
101161001,Coastal Alabama Community College,106000,Coastal Alabama Community College Main Campus - Bay Minette,1900 U.S. Hwy 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101161002,Coastal Alabama Community College,106000,Coastal Alabama Community College - Fairhope Campus,440 Fairhope Avenue,Fairhope,AL,36532,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,30.52295481632653,-87.90253659183674
101161003,Coastal Alabama Community College,106000,Coastal Alabama Community College - Gulf Shores Campus,3301 Gulf Shores Parkway,Gulf Shores,AL,36542,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,30.298169,-87.683249
101161004,Coastal Alabama Community College,106000,Coastal Alabama Community College - Brewton Campus,220 ALCO DR,BREWTON,AL,36426,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.1022138,-87.0862756
101161005,Coastal Alabama Community College,106000,Coastal Alabama Community College - Atmore Campus,6574 Highway 21,Atmore,AL,36502,4,"Public, 2-year",2872.0,3928.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,44.5099964,-81.319401
101161006,Coastal Alabama Community College,106000,Coastal Alabama Community College - Monroeville Campus,2800 South Alabama Avenue,MONROEVILLE,AL,364602000,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.4890523,-87.324707
101161007,Coastal Alabama Community College,106000,Coastal Alabama Community College - Thomasville campus,30755 Hwy 43 South,Thomasville,AL,367842000,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101161008,Coastal Alabama Community College,106000,Coastal Alabama Community College - GILBERTOWN CAMPUS,251 College Street,Gilbertown,AL,36908,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101161009,Coastal Alabama Community College,106000,Coastal Alabama Community College - JACKSON CAMPUS,235 College Avenue,Jackson,AL,36545,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101161011,Coastal Alabama Community College,106000,Alabama Aviation Center - Mobile,1975 Avenue C,Mobile,AL,366151403,4,"Public, 2-year",2872.0,3928.0,6800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,30.065535844660193,-94.10080796116505
101189001,Faulkner University,100300,Main Campus,5345 ATLANTA HWY,MONTGOMERY,AL,361093378,2,"Private nonprofit, 4-year or above",1153.0,1664.0,2817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,32.3854781,-86.21710609904724
101189002,Faulkner University,100300,FAULKNER UNIVERSITY-BIRMINGHAM,4524 Southlake Parkway,Hoover,AL,352444506,2,"Private nonprofit, 4-year or above",1153.0,1664.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,33.36063292043012,-86.7744618956012
101189003,Faulkner University,100300,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,HUNTSVILLE,AL,358051963,2,"Private nonprofit, 4-year or above",1153.0,1664.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,33.406997735364335,-84.26525225081595
101189004,Faulkner University,100300,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard,MOBILE,AL,366084112,2,"Private nonprofit, 4-year or above",1153.0,1664.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101240001,Gadsden State Community College,101700,Gadsden State Community College,PO Box 227,GADSDEN,AL,359020227,4,"Public, 2-year",1664.0,2688.0,4352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101277001,New Beginning College of Cosmetology,4187200,Main Campus,421 Martling Rd,Albertville,AL,35951,9,"Private for-profit, less-than 2-year",0.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,34.277689385322724,-86.19718984818755
101286001,George C Wallace Community College-Dothan,101800,Wallace Campus,1141 Wallace Drive,DOTHAN,AL,363039234,4,"Public, 2-year",1195.0,2637.0,3832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.3175843,-85.46573931088687
101286004,George C Wallace Community College-Dothan,101800,Sparks Campus,3235 South Eufaula Ave.,Eufaula,AL,36027,4,"Public, 2-year",1195.0,2637.0,3832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101295001,George C Wallace State Community College-Hanceville,787100,Main Campus,801 Main Street NW,HANCEVILLE,AL,35077,4,"Public, 2-year",2172.0,3793.0,5965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101301001,George C Wallace State Community College-Selma,569900,Main Campus,3000 EARL GOODWIN PARKWAY,SELMA,AL,367032808,4,"Public, 2-year",778.0,1082.0,1860.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,1,1,32.439776,-87.014435
101301002,George C Wallace State Community College-Selma,569900,The New Era Building ,918 South Cedar Street,Demopolis,AL,36732,4,"Public, 2-year",778.0,1082.0,1860.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,1,1,,
101301003,George C Wallace State Community College-Selma,569900,The Demopolis Campus,186 Fields of Dreams Dr,Gallion,AL,36742,4,"Public, 2-year",778.0,1082.0,1860.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,1,1,,
101365001,Herzing University-Birmingham,962107,Main Campus,280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209,2,"Private nonprofit, 4-year or above",126.0,452.0,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101435001,Huntingdon College,101900,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",454.0,363.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101453001,Heritage Christian University,2199700,Main Campus,"3625 HELTON DR, PO Box HCU",FLORENCE,AL,35630,2,"Private nonprofit, 4-year or above",124.0,19.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101462001,J. F. Drake State Community and Technical College,526000,Main Campus,3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544,4,"Public, 2-year",388.0,588.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101471001,J F Ingram State Technical College,3002500,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",671.0,97.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101480001,Jacksonville State University,102000,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3839.0,5793.0,9632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101505001,Jefferson State Community College,102200,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3090.0,5341.0,8431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101505002,Jefferson State Community College,102200,Shelby Campus,4600 Valleydale Road,Birmingham,AL,35242,4,"Public, 2-year",3090.0,5341.0,8431.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101505003,Jefferson State Community College,102200,St. Clair Campus,500 College Drive,Pell City,AL,35125,4,"Public, 2-year",3090.0,5341.0,8431.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101505004,Jefferson State Community College,102200,Chilton Campus,1850 Lay Dam Road,Clanton,AL,35045,4,"Public, 2-year",3090.0,5341.0,8431.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,32.87240475,-86.62152078430515
101514001,John C Calhoun State Community College,101300,Main Campus,HWY 31 N,DECATUR,AL,356092216,4,"Public, 2-year",3698.0,4465.0,8163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101514002,John C Calhoun State Community College,101300,Calhoun Community College Huntsville,102 Wynn Drive,Huntsville,AL,35805,4,"Public, 2-year",3698.0,4465.0,8163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101514004,John C Calhoun State Community College,101300,Alabama Center for the Arts,133 2nd Avenue NE,Decatur,AL,35601,4,"Public, 2-year",3698.0,4465.0,8163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101569001,Lawson State Community College,105900,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",987.0,1932.0,2919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,33.44901193484017,-86.88907811376714
101569002,Lawson State Community College,105900,Bessemer Campus,1100 9th Ave SW,Bessemer,AL,35022,4,"Public, 2-year",987.0,1932.0,2919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,33.374820299999996,-86.99296732984362
101587001,University of West Alabama,102400,University of West Alabama,Station 50,Livingston,AL,35470,1,"Public, 4-year or above",1442.0,4418.0,5860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,32.864466699999994,-117.20025044347608
101602001,Lurleen B Wallace Community College,898800,Main Campus,1000 Dannelly Blvd.,ANDALUSIA,AL,364201418,4,"Public, 2-year",878.0,1051.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.323364849999997,-86.45117848069391
101602002,Lurleen B Wallace Community College,898800,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street,Opp,AL,36467,4,"Public, 2-year",878.0,1051.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101602003,Lurleen B Wallace Community College,898800,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass,Greenville,AL,36037,4,"Public, 2-year",878.0,1051.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,31.84753844897959,-86.62682687755103
101648001,Marion Military Institute,102600,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",232.0,88.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101675001,Miles College,102800,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",570.0,688.0,1258.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,33.48109865,-86.90911015439585
101693001,University of Mobile,102900,University of Mobile,5735 College Parkway,MOBILE,AL,366132842,2,"Private nonprofit, 4-year or above",698.0,1106.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,30.797630653061226,-88.12478971428571
101709001,University of Montevallo,100400,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",886.0,1700.0,2586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,1,1,10.3244744,123.9742539
101736001,Northwest-Shoals Community College,569700,Shoals Campus,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661,4,"Public, 2-year",1853.0,2179.0,4032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,34.740338,-87.6775438
101736002,Northwest-Shoals Community College,569700,Phil Campbell Campus,2080 College Road,Phil Campbell,AL,35581,4,"Public, 2-year",1853.0,2179.0,4032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
101879001,University of North Alabama,101600,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",3490.0,6340.0,9830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,,
101879002,University of North Alabama,101600,East Campus,1640 Tune Avenue,florence,AL,35630,1,"Public, 4-year or above",3490.0,6340.0,9830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,34.821231049999994,-87.65919046495817
101897001,Northeast Alabama Community College,103100,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986,4,"Public, 2-year",902.0,1688.0,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,
101912001,Oakwood University,103300,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",632.0,838.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,34.7548158,-86.65883941556405
