UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude,Income_Data
106625001,Black River Technical College,2052200,Main Campus,1410 HWY 304 East,POCAHONTAS,AR,72455,4,"Public, 2-year",586.0,980.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1410 HWY 304 East, POCAHONTAS, AR 72455",36.24086095,-90.95183510522332,
106625002,Black River Technical College,2052200,Black River Technical College Paragould,2402 N 12th Ave,Paragould,AR,72450,4,"Public, 2-year",586.0,980.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2402 N 12th Ave, Paragould, AR 72450",36.08755011608143,-90.4701899355432,
106713001,Central Baptist College,109300,Central Baptist College,1501 COLLEGE AVE,CONWAY,AR,72034,2,"Private nonprofit, 4-year or above",312.0,252.0,564.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,1,1,1,"1501 COLLEGE AVE, CONWAY, AR 72034",35.084539,-92.445715,
106795003,Cossatot Community College of the University of Arkansas,2220900,Little River Campus,1411 North Constitution Avenue,Ashdown,AR,71822,4,"Public, 2-year",462.0,816.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1411 North Constitution Avenue, Ashdown, AR 71822",33.68462012052296,-94.13592743482542,
106810001,Crowley's Ridge College,109500,Main Campus,100 COLLEGE DR,PARAGOULD,AR,72450,2,"Private nonprofit, 4-year or above",103.0,98.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"100 COLLEGE DR, PARAGOULD, AR 72450",36.066337,-90.584685,
106883001,East Arkansas Community College,1226000,East Arkansas Community College,1700 NEWCASTLE RD,FORREST CITY,AR,72335,4,"Public, 2-year",392.0,787.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1700 NEWCASTLE RD, FORREST CITY, AR 72335",35.0417579,-90.7673336,
106908001,Paul Mitchell the School-Little Rock,3124900,"Paul Mitchell the School - Little Rock (Main Campus, North Little Rock, AR)",4201 E McCain Blvd,North Little Rock,AR,72117,9,"Private for-profit, less-than 2-year",17.0,341.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"4201 E McCain Blvd, North Little Rock, AR 72117",34.789526,-92.222844,
106908002,Paul Mitchell the School-Little Rock,3124900,Paul Mitchell the School - Norman,3030 William Pereira,Norman,OK,73072,9,"Private for-profit, less-than 2-year",17.0,341.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3030 William Pereira, Norman, OK 73072",35.21427995918367,-97.485925122449,
107044003,Harding University,109700,Harding University Northwest Arkansas,901 South 52nd Street,Rogers,AR,72758,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"901 South 52nd Street, Rogers, AR 72758",36.324032,-94.186328,
107044004,Harding University,109700,Harding University-Athens Greece,37 KLM Porto Rafti Avenue,Markopoulo Attiki,,19003,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107044005,Harding University,109700,Harding University-Florence Italy,Via Triozzi 57,Scandicci Firenze,,50018,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107044006,Harding University,109700,Graduate School of Religion,1000 Cherry Road,Memphis,TN,38117,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1000 Cherry Road, Memphis, TN 38117",35.10428,-89.915661,
107044007,Harding University,109700,Harding University Australasia - HUA,"Main Beach LPO, P.O.Box 766",Main Beach QLD,,4217,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107044009,Harding University,109700,Harding University Latin America (HULA) Chile,Posada el Castillo Campos 105 Arequipa,Arequipa,, 04001,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107044010,Harding University,109700,Harding University Zambia (HIZ),"Namwianga Mission, PO Box 620022",Kalomo,,20100,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107044011,Harding University,109700,Harding University England (HUE),"C/O Florida State, 103 Great Russell Street",London,,0,2,"Private nonprofit, 4-year or above",2015.0,2790.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107099001,Hot Springs Beauty College,3007100,Hot Springs Beauty College,100 Cones Rd,HOT SPRINGS,AR,71901,9,"Private for-profit, less-than 2-year",5.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"100 Cones Rd, HOT SPRINGS, AR 71901",34.496223,-93.038204,
107123001,Jefferson Regional School of Nursing,2330800,Main Campus,1600 West 40th,PINE BLUFF,AR,71603,5,"Private nonprofit, 2-year",17.0,52.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1600 West 40th, PINE BLUFF, AR 71603",34.18804475,-92.01778763263852,
107141005,John Brown University,110000,Ireland Center,157 Finaghy Road South,Belfast,,BT1O ODA,2,"Private nonprofit, 4-year or above",892.0,1434.0,2326.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288,
107293001,Academy of Salon and Spa,1074100,Mellie's Inc. - Academy of Salon & Spa,311 S 16TH ST,FORT SMITH,AR,72901,9,"Private for-profit, less-than 2-year",0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"311 S 16TH ST, FORT SMITH, AR 72901",35.38092724489796,-94.4162410612245,
